Briefdatum,Briefschreiber,Briefempfänger
1646-03-03,Matthäus Merian d. Ä.,Peter Knaudt
1646-03-09,Fürst Ludwig,Herzog Christian Ludwig von Braunschweig-Calenberg
1646-03-15,Christoph Steger,Christian Clepius
1646-03-17,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1646-03-21,Pfalzgraf Ludwig Philipp von Simmern,Fürst Ludwig
1646-03-24,Matthäus Merian d. Ä.,Peter Knaudt
1646-04-03,Herzog Christian Ludwig von Braunschweig-Calenberg,Fürst Ludwig
1646-04-06,Georg Philipp Harsdörffer,Fürst Ludwig
1646-04-10,Georg Philipp Harsdörffer,Georg Sigmund Fürer von Haimendorf
1646-04-14,Justus Georg Schottelius,Johann Valentin Andreae
1646-04-22,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1646-04-23,Fürst Ludwig,Pfalzgraf Ludwig Philipp von Simmern
1646-04-24,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1646-04-24,Fürst Ludwig,Pfalzgraf Ludwig Philipp von Simmern
1646-04-26,Fürst Ludwig,Georg Philipp Harsdörffer
1646-05-19,Matthäus Merian d. Ä.,Peter Knaudt
1646-06-09,Fürst Ludwig,Georg Philipp Harsdörffer
1646-06-10,Andreas Tscherning,Matthaeus Apelles von Löwenstern
1646-06-13,Herzog Rudolf August von Braunschweig-Wolfenbüttel,Fürst Christian II. von Anhalt-Bernburg
1646-06-20,Georg Philipp Harsdörffer,Fürst Ludwig
1646-06-20,Joachim von Glasenapp,Fürst Ludwig
1646-06-20,Matthäus Merian d. Ä.,Peter Knaudt
1646-07-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-07-03,Matthäus Merian d. Ä.,Peter Knaudt
1646-07-05,Fürst Ludwig,Georg Philipp Harsdörffer
1646-07-08,Fürst Ludwig,Peter Knaudt
1646-07-14,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1646-07-15,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-07-15,Johann Valentin Andreae,Philipp Hainhofer
1646-07-18,Carl Gustav von Hille,Fürst Ludwig
1646-07-20,Christian Gueintz,Fürst Ludwig
1646-07-21,Herzog Georg Rudolph in Schlesien zu Liegnitz und Wohlau,Fürst Ludwig
1646-07-26,Johann Michael Moscherosch,Fürst Ludwig
1646-08-03,Justus Georg Schottelius,Georg Philipp Harsdörffer
1646-08-04,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1646-08-08,Herzog Franz Carl von Sachsen-Lauenburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-08-10,Matthias Götze,Peter Knaudt
1646-08-12,Augustus Buchner,Fürst Ludwig
1646-08-16,Fürst Ludwig,Georg Philipp Harsdörffer
1646-08-19,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-08-25,Martinus Milagius,die Leser seines Singenden Jesaia
1646-04-21,Fürst Ludwig,Martinus Milagius
1646-08-29,Johann Michael Moscherosch,Johann Rist
1646-09-02,Fürst Ludwig,Georg Philipp Harsdörffer
1646-09-08,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1646-09-09,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-09-12,Georg Philipp Harsdörffer,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-09-15,Georg Philipp Harsdörffer,Christian Gueintz
1646-09-15,Carl Gustav von Hille,Fürst Ludwig
1646-09-16,Georg Philipp Harsdörffer,Fürst Ludwig
1646-10-06,Johann Dietrich von Brincken,Christian Ernst (von) Knoch
1646-10-20,Johann Rist,Johann Michael Moscherosch
1646-10-23,Matthäus Merian d. Ä.,Peter Knaudt
1646-10-26,Pfalzgraf Ludwig Philipp von Simmern,Fürst Ludwig
1646-10-29,Carl Gustav von Hille,Fürst Ludwig
1646-10-31,Fürst Ludwig,Georg Philipp Harsdörffer
1646-10-31,Pfalzgraf Ludwig Philipp von Simmern,Fürst Ludwig
1646-11-04,Johann Rist,Johann Heinrich Boeckler
1646-11-06,Fürst Ludwig,Carl Gustav von Hille
1646-11-24,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1646-12-04,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1646-12-04,Georg Philipp Harsdörffer,Herzog August d. J. von Braunschweig-Wolfenbüttel
1646-12-06,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1646-12-13,Fürst Ludwig,Georg Philipp Harsdörffer
1646-12-16,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-01-01,Georg Philipp Harsdörffer,Fürst Ludwig
1647-01-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-01-12,Carl Gustav von Hille,Fürst Ludwig
1647-01-19,Georg Philipp Harsdörffer,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-01-22,Fürst Ludwig,Carl Gustav von Hille
1647-01-22,Fürst Ludwig,Georg Philipp Harsdörffer
1647-01-28,Sigismund Betulius,Prinz Ferdinand Albrecht von Braunschweig-Wolfenbüttel
1647-02-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-02-05,Justus Georg Schottelius,die Fruchtbringende Gesellschaft
1647-02-06,Georg Philipp Harsdörffer,Fürst Ludwig
1647-02-15,Georg Philipp Harsdörffer,Justus Georg Schottelius
1647-02-20,Johann Rist,Fürst Ludwig
1647-02-23,Matthäus Merian d. Ä.,Peter Knaudt
1647-03-09,Carl Gustav von Hille,Fürst Ludwig
1647-03-16,Fürst Ludwig,Georg Philipp Harsdörffer
1645-01-24,Fürst Ludwig,Andreas Kühne
1647-03-23,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1647-04-03,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1647-04-03,Fürst Ludwig,Pfalzgraf Ludwig Philipp von Simmern
1647-04-13,Fürst Ludwig,Johann Rist
1647-04-16,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-04-26,Christian Gueintz,Justus Georg Schottelius
1647-04-26,Georg Philipp Harsdörffer,Fürst Ludwig
1647-03-10,Homburgs Widmungsvorrede,die Fruchtbringende Gesellschaft
1647-04-01,Georg Philipp Harsdörffer,Principe Tiberio Caraffa
1647-05-06,Matthäus Merian d. Ä.,Peter Knaudt
1647-05-08,Fürst Ludwig,Georg Philipp Harsdörffer
1647-05-29,Landgraf Hermann IV. von Hessen-Rotenburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-05-31,Fürst Ludwig,Landgraf Hermann IV. von Hessen-Rotenburg
1647-06-04,Johann Matthias Schneuber,Georg Philipp Harsdörffer
1647-06-25,Fürst Ludwig,Carl Gustav von Hille
1647-07-31,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-08-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-08-01,Johann Rist,Johann Michael Moscherosch
1647-08-04,Johann Rist,Johann Valentin Andreae
1647-08-24,Jesaias Rompler von Löwenhalt,Johann Heinrich Boeckler
1647-09-01,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Fürst Christian II. von Anhalt-Bernburg
1647-09-15,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-09-15,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1647-09-23,Fürst Ludwig,Christian Clepius
1647-09-25,Georg Philipp Harsdörffer,Herzog Wilhelm IV. von Sachsen-Weimar
1647-09-27,Georg Philipp Harsdörffer,Fürst Ludwig
1647-10-06,Christian Gueintz,Justus Georg Schottelius
1647-10-08,Johann Rist,die Fruchtbringende Gesellschaft
1647-10-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-11-03,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-11-03,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1647-11-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-12-07,Georg Philipp Harsdörffer,Fürst Ludwig
1647-12-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-12-10,Herr Rudolph von Dietrichstein,Fürst Ludwig
1647-12-09,Herr Rudolph von Dietrichstein,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg
1647-11-22,Herr Johann Wilhelm von Stubenberg,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg
1647-12-13,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-12-13,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1647-12-13,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1648-01-01,Fürst Ludwig,Georg Philipp Harsdörffer
1648-01-01,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-01-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1647-12-01,Graf und Herr Erasmus d. J. von Starhemberg,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg
1648-01-07,Antonius Müller gen. Gering,Fürst Ludwig
1648-01-18,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1648-01-24,Johann Rist,Fürst Ludwig
1648-02-09,Graf und Herr Erasmus d. J. von Starhemberg,Fürst Ludwig
1648-02-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-02-23,Herr Johann Wilhelm von Stubenberg,Fürst Ludwig
1648-02-26,Bernhard von Arnim,Diederich von dem Werder
1648-02-29,Joachim Mechovius,Tobias Steffeck von Kollodey
1648-03-01,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-03-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-03-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-03-18,Fürst Ludwig,Georg Philipp Harsdörffer
1648-03-23,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-03-24,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1648-04-03,Diederich von dem Werder,Fürst Ludwig
1648-04-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-04-08,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1648-04-11,Herr Johann Wilhelm von Stubenberg,Fürst Ludwig
1648-04-12,Fürst Ludwig,Georg Philipp Harsdörffer
1648-04-18,Graf und Herr Erasmus d. J. von Starhemberg,Fürst Ludwig
1648-04-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-04-21,Philipp von Zesen,Fürst Ludwig
1648-04-28,Gottfried Sturm,Fürst Ludwig
1648-04-30,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-05-04,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-05-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-05-14,Georg Philipp Harsdörffer,Fürst Ludwig
1648-05-15,Fürst Ludwig,Graf und Herr Erasmus d. J. von Starhemberg
1648-05-17,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-05-19,Fürst Ludwig,Herr Johann Wilhelm von Stubenberg
1648-05-21,Christian Clepius in Fürst Ludwigs Namen,Philipp von Zesen
1648-05-23,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-06-01,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Fürst Christian II. von Anhalt-Bernburg
1648-06-03,Wilhelm (von) Micrander,Fürst Ludwig
1648-06-04,Fürst Ludwig,Wilhelm (von) Micrander
1648-06-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-06-08,Wilhelm (von) Micrander,Fürst Ludwig
1648-06-14,Fürst Ludwig,Johann Rist
1648-06-14,Graf und Herr Erasmus d. J. von Starhemberg,Fürst Christian II. von Anhalt-Bernburg
1648-06-25,die Fruchtbringende Gesellschaft,Fürst Ludwig
1648-06-28,Herr Rudolph von Dietrichstein,Fürst Christian II. von Anhalt-Bernburg
1648-06-28,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Fürst Christian II. von Anhalt-Bernburg
1648-07-01,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Fürst Christian II. von Anhalt-Bernburg
1648-07-03,Fürst Ludwig,Christian Ernst (von) Knoch
1648-07-23,Diederich von dem Werder,Fürst Ludwig
1648-07-24,Fürst Lebrecht von Anhalt-Köthen,Fürst Ludwig
1648-07-24,Diederich von dem Werder,Fürst Ludwig
1648-07-31,Fürst Ludwig,Diederich von dem Werder
1648-07-31,Diederich von dem Werder,Fürst Ludwig
1648-08-01,Fürst Ludwig,Georg Philipp Harsdörffer
1648-08-01,Hieronymus Imhof,Johann Valentin Andreae
1648-08-07,Fürst Ludwig,Herzog Wilhelm IV. von Sachsen-Weimar
1648-08-17,Joachim von Glasenapp,Herzog August d. J. von Braunschweig-Wolfenbüttel
1648-08-20,Joachim Mechovius,Heinrich Schumacher
1648-08-22,Philipp von Zesen,Fürst Ludwig
1648-09-09,Landgraf Hermann IV. von Hessen-Rotenburg,Fürst Ludwig
1648-09-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-09-10,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1648-09-14,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-09-15,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1648-09-17,Johann Valentin Andreae,Johann Schmidt
1648-10-06,Matthäus Merian d. Ä.,Peter Knaudt
1648-10-16,Fürst Ludwig,Christian Gueintz
1648-10-22,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1648-10-23,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1648-10-23,Augustus Buchner,Christian Gueintz
1648-10-27,Landgraf Hermann IV. von Hessen-Rotenburg,Fürst Ludwig
1648-10-30,Fürst Ludwig,Georg Philipp Harsdörffer
1648-11-05,Christian Gueintz,Fürst Ludwig
1648-11-13,Philipp von Zesen,Fürst Ludwig
1648-11-16,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1648-11-16,Johann Rist,Fürst Ludwig
1648-11-23,Joachim von Glasenapp,Georg Calixtus
1648-11-18,Herzogin Sophia Elisabeth von Braunschweig-Wolfenbüttel,Joachim von Glasenapp
1648-12-13,Johann Michael Moscherosch,Johann Valentin Andreae
1648-12-22,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1649-01-01,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Fürst Christian II. von Anhalt-Bernburg
1649-01-02,Diederich von dem Werder,Fürst Ludwig
1649-01-07,Diederich von dem Werder,Fürst Ludwig
1649-01-15,Wilhelm Heinrich von Freyberg,Christian Ernst (von) Knoch
1649-01-24,Wilhelm (von) Micrander,Fürst Ludwig
1649-02-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1649-03-02,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-03-02,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1649-03-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-03-07,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-03-12,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-03-15,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1649-03-20,Fürst Ludwig,Johann Rist
1649-03-20,Hieronymus Imhof,Johann Valentin Andreae
1649-03-31,Diederich von dem Werder,Carl Gustav Wrangel
1649-04-02,Georg Philipp Harsdörffer,Johann Valentin Andreae
1649-04-12,Philipp von Zesen,Fürst Ludwig
1649-04-16,Fürst Ludwig,Diederich von dem Werder
1649-04-18,Carl Gustav Wrangel,Diederich von dem Werder
1649-04-26,Georg Philipp Harsdörffer,Fürst Ludwig
1649-04-28,Diederich von dem Werder,Fürst Ludwig
1649-05-01,Fürst Ludwig,Philipp von Zesen
1649-05-09,Philipp von Zesen,Fürst Ludwig
1649-05-12,Martinus Milagius,Fürst Ludwig
1649-05-14,Diederich von dem Werder,Philipp von Zesen
1649-05-17,Martinus Milagius,Fürst Ludwig
1649-05-25,Philipp von Zesen,Fürst Ludwig
1649-05-26,Fürst Ludwig,Philipp von Zesen
1649-06-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1649-06-07,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-06-09,Carl Gustav Wrangel,Diederich von dem Werder
1649-06-19,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-06-19,Christian Gueintz,Fürst Ludwig
1649-06-24,Georg Philipp Harsdörffer,Fürst Ludwig
1649-06-25,Martinus Milagius,Fürst Ludwig
1649-07-18,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1649-08-07,Georg Philipp Harsdörffer,Fürst Ludwig
1649-08-20,Georg Philipp Harsdörffer,Johann Valentin Andreae
1649-09-01,Diederich von dem Werder,Fürst Ludwig
1649-09-14,Diederich von dem Werder,Christian Ernst (von) Knoch
1649-09-30,Christian Hoffmann (von Hoffmannswaldau),Georg Philipp Harsdörffer
1649-10-06,Georg Philipp Harsdörffer,Diederich von dem Werder
1649-10-08,Georg Philipp Harsdörffer,Johann Valentin Andreae
1649-10-20,Georg Philipp Harsdörffer,Christian Hoffmann (von Hoffmannswaldau)
1649-10-26,Bartholomäus (von) Wolfsberg,Diederich von dem Werder
1649-10-27,Georg Philipp Harsdörffer,Diederich von dem Werder
1649-11-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1649-11-04,Georg Philipp Harsdörffer,Diederich von dem Werder
1649-11-16,Georg Philipp Harsdörffer,Joachim von Glasenapp
1649-12-06,Johann Michael Moscherosch,Johann Valentin Andreae
1650-01-28,Johann Michael Moscherosch,Pfalzgraf Karl Gustav von Kleeburg
1650-02-01,Diederich von dem Werder,einen Fürsten (August von Anhalt-Plötzkau)
1650-02-04,Wilhelm (von) Micrander,Carl Gustav Wrangel
1650-03-05,Freifräulein Margareta Maria von Buwinghausen und Walmerode,Johann Valentin Andreae
1650-03-30,Sigismund Betulius,Prinz Ferdinand Albrecht von Braunschweig-Wolfenbüttel
1650-04-18,Joachim von Glasenapp,Herzog August d. J. von Braunschweig-Wolfenbüttel
1650-07-07,Johann Michael Moscherosch,Johann Valentin Andreae
1650-07-20,Georg Philipp Harsdörffer,Zacharias Prüschenk von Lindenhofen
1650-08-02,Carl Gustav Wrangel,Diederich von dem Werder
1640-01-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-02-21,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-02-21,Fürst Ludwig,Herzog Christian Ludwig von Braunschweig-Calenberg
